nama,url,deskripsi
Website BPS RI,www.bps.go.id,website bps pusat
Website BPS Jabar,https://jabar.bps.go.id,website bps jabar
Tugas Jabatan Fungsional,https://public.flourish.studio/visualisation/14034204/,regulasi tugas jabatan fungsional
KipApp,https://kipapp.web.bps.go.id/,laporan kinerja pegawai
Regulasi Standar Data Statistik Nasional,https://ppid.bps.go.id/upload/doc/Peraturan_Badan_Pusat_Statistik_Nomor_4_Tahun_2021_tentang_Standar_Data_Statistik_Nasional_1658133163,Peraturan BPS 4 2021 tentang Standar Data Statistik
Juknis Standar Data Statistik,https://ppid.bps.go.id/upload/doc/Peraturan_Badan_Pusat_Statistik_Nomor_4_Tahun_2020_tentang_Petunjuk_Teknis_Standar_Data_Statistik_1658133335.pdf,Peraturan BPS 4 2020 tentang Petunjuk Teknis Standar Data Statistik
Juknis Metadata Statistik,https://ppid.bps.go.id/upload/doc/Peraturan_Badan_Pusat_Statistik_No__5_Tahun_2020_Petunjuk_Teknis_Metadata_Statistik_1658133466.pdf,Peraturan BPS 5 2020 tentang Petunjuk Teknis Metadata Statistik
Simbatik,https://webapps.bps.go.id/simbatik,Web EPSS
EPSS,https://ppid.bps.go.id/upload/doc/Peraturan_Badan_Pusat_Statistik_Nomor_3_Tahun_2022_1679381490.pdf,Peraturan BPS 3 2022 tentang EPSS
NSPK,https://ppid.bps.go.id/upload/doc/Peraturan_Badan_Pusat_Statistik_No__4_Tahun_2019_tentang_Norma__Standar__Prosedur__dan_Kriteria_penyelenggaraan_Statistik_Sektoral_oleh_Pemerintah_Daerah_1658133777.pdf,Peraturan BPS 4 2019 tentang NSPK Penyelenggaraan Statistik Sektoral oleh Pemerintah Daerah
Penjelasan Indikator EPSS,https://public.flourish.studio/visualisation/14210359/,Penjelasan Indikator EPSS
Skala Kematangan EPSS,https://public.flourish.studio/visualisation/14210445/,Skala Kematangan EPSS
Open Data Jabar,https://opendata.jabarprov.go.id/id,Open Data Jabar
Materi Dasar-dasar Statistik,https://drive.google.com/file/d/1cmB7U6qWBQYrG_5sUiuKJyz4EDb20IL5/preview,Dasar-dasar Statistik
Materi Metadata Statistik,https://drive.google.com/file/d/1fngDi4qmpwTMlX83AkqUk9PydQguFq-W/preview,Materi Metadata Statistik
Modul Implementasi Statistik,https://drive.google.com/file/d/18Em1hySNdkAoEt4YJysUblFd0eQGOIwX/preview,Materi Implementasi Statistik
Modul Perencanaan Kegiatan,https://drive.google.com/file/d/1Ocu8Kwz10WeQeRaS2FaAdLlKCGrWaQKo/preview,Materi Perencanaan Kegiatan
Modul Perancangan Kegiatan,https://drive.google.com/file/d/1XT98Jg_G1jbAT3yNeTz1gTvQkMrjUwZA/preview,Materi Perancangan Kegiatan
Modul Pengumpulan Data,https://drive.google.com/file/d/1EqRNPp19xhPI7Njc_yEii2QQvBV2WPb1/preview,Modul Pengumpulan Data
Modul Pengolahan Data,https://drive.google.com/file/d/18TFFNbZaDUt9JJkMalDhlynYP4--7ZlE/preview,Modul Pengolahan Data
Modul Analisis Statistik,https://drive.google.com/file/d/1Gakcm7etk2V-YQ-PFkC51Rbf3oO1kvXN/preview,Modul Analisis Statistik
Modul Diseminasi dan Evaluasi,https://drive.google.com/file/d/1WLuE8fo5vu3QADpTPuYKJQUTQdY6Xs6P/preview,Modul Diseminasi dan Evaluasi
Chat GPT,https://chat.openai.com/auth/login,AI Agent Chat GPT
Chat Z AI,https://chat.z.ai/AI Agent Z
Perplexity,https://www.perplexity.ai/,AI Agent Perplexity
Meta AI,https://meta.ai,Generate gambar/animasi
Google Gemini,https://aistudio.google.com,bikin aplikasi dengan gemini
Canva,https://www.canva.com,canva,bikin desain
Presentasi dengan AI,https://www.decktopus.com/,Generate presentasi dengan AI
Membuat Presentasi,https://www.presentations.ai/,Generate presentasi dengan AI
Tableau Public,https://public.tableau.com/en-us/s/,Tableau Public
Grafik interaktif,https://flourish.studio/,bikin grafik interaktif online
Tabel online canggih,https://rows.com/,bikin tabel yang lebih keren dari spreadsheet
Admin PPID (VPN),https://ppid.bps.go.id/dashboard,Backend PPID BPS
Backoffice Selindo (VPN),https://backoffice.bps.go.id/,bos - Backoffice Selindo (VPN)
Community (VPN),https://community.bps.go.id/,Community BPS (VPN)
Drive BPS (VPN),https://drive.bps.go.id/,Drive BPS
LMS,https://lms.bps.go.id,E-Learning BPS
Gojags,https://gojags.web.bps.go.id,Gojags
E Monev Bappenas,https://e-monev.bappenas.go.id,E Monev Bappenas
ESR MenPAN/ e-SAKIP REVIU,https://esr.menpan.go.id/,ESR MenPAN/ e-SAKIP REVIU
JDIH BPS,https://jdih.bps.go.id,JDIH (VPN)
KeMenKeu Learning Center,https://klc2.kemenkeu.go.id/,klc - KeMenKeu Learning Center
Web Sensus,https://sensus.bps.go.id,Web Sensus
Sensus Ekonomi 2026,https://sensus.bps.go.id/se2026,SE2026
Sensus Pertanian 2023,https://sensus.bps.go.id/st2023,ST2023
OM-SPAN,https://spanint.kemenkeu.go.id/spanint/latest/app/,OM-SPAN
PPID BPS,https://ppid.bps.go.id/,PPID BPS
Reformasi Birokrasi BPS,http://rb.bps.go.id/,rb - Reformasi Birokrasi BPS
Shortlink BPS,https://s.bps.go.id/,bikin Shortlink BPS
SiImut BPS,https://sdm.bps.go.id/siimut/web/site/login,mutasi SiImut BPS
Simpeg BPS (VPN),https://simpeg.bps.go.id/,Simpeg BPS (VPN)
SiPeCut BPS (VPN),https://sipecut.bps.go.id,cuti - SiPeCut BPS (VPN)
Smart,https://anggaran.kemenkeu.go.id/in/post/aplikasi-smart,Smart
Romantik,https://romantik.web.bps.go.id,rekomendasi
Backend Website (VPN),https://jabar.bps.go.id/backend,kelola tabel dinamis
Pemetaan,https://dataspasial.bps.go.id/,Data spasial
Email,https://mail.bps.go.id/,zimbra
Entri metadata,https://indah.bps.go.id/login,entri metadata statistik
Web Fasih,https://fasih-sm.bps.go.id,fasih sistem manajemen
Git BPS,https://git.bps.go.id,kelola repository bps
Github,https://https://github.com/,kelola repository publik
Instagram BPS Jabar,https://www.instagram.com/bpsjabar/?hl=en,Instagram BPS Jabar
kbli - kbji - kbki,https://www.bps.go.id/klasifikasi,kamus klasifikasi
Manajemen Mitra BPS (VPN),https://manajemen-mitra.bps.go.id/,Manajemen Mitra BPS
mfd,https://frs.bps.go.id/area/login,kelola mfd
Portal Publikasi BPS (VPN),https://portalpublikasi.bps.go.id/,kelola Publikasi BPS
Pelayanan Statistik Terpadu,https://pst.bps.go.id/,pst - Pelayanan Statistik Terpadu
SIPPN MenPAN,https://sippn.menpan.go.id/,SIPPN MenPAN
Sirusa,https://sirusa.web.bps.go.id/metadata/,rujukan
SKD 2019,https://skd.bps.go.id/skd2019/web/,skd
SKD 2020,https://skd.bps.go.id/skd2020/web/,skd
SKD 2021,https://skd.bps.go.id/SKD2021/,skd
SKD 2022,https://skd.bps.go.id/SKD2022/,skd
SKD 2023,https://skd.bps.go.id/SKD2023/,skd
SKD 2024,https://skd.bps.go.id/SKD2024/,skd
SKD 2025,https://skd.bps.go.id/SKD2025/,skd
SKD 2026,https://skd.bps.go.id/SKD2026/,skd
SIPP BPS,https://dokumentasi.web.bps.go.id/app/SIPP,web sipp
Web Sobat,https://mitra.bps.go.id/beranda,sobat mitra bps
Daftar Standar Data Statistik,https://indah.bps.go.id/standar-data-statistik-nasional,sdsn
Telegram Desktop,https://desktop.telegram.org/,donlot telegram
Telegram Web,https://web.telegram.org,buka telegram
webdash,https://webdash.web.bps.go.id,website dashboard bps
Whatsapp Desktop,https://www.whatsapp.com/download,donlot whatsapp
Whatsapp web,https://web.whatsapp.com/,buka whatsapp
Wilkerstat BPS,https://wilkerstat.bps.go.id,web wilkerstat
Youtube BPS Jabar,https://www.youtube.com/@bpsjabar32,youtube bps jabar
Peduli,https://firmanh3200.github.io/peduli,peduli zoni - portal edukasi dan literasi pegawai
PPID32,https://firmanh3200.github.io/ppid32,pengelolaan ppid bps jabar
Makro32,https://firmanh3200.github.io/makro32,indikator makro jabar terkini
NotebookLM,https://notebooklm.google.com,generate infografis/ video/ audio rangkuman
dda internal,https://sites.google.com/view/32dda26/home,kelola penyusunan dda internal
dda eksternal,https://sites.google.com/view/dda3200/home,kelola penyusunan dda eksternal
Monev PEKPPP32,https://sites.google.com/view/monev-pekppp/home,kelola pekppp bps jabar
Monev SIPPN MenPAN,https://sites.google.com/view/sippn3200/home,kelola sippn menpan
EPSS Mandiri,https://sites.google.com/view/epssmandiri/home,contoh pengisian mandiri epss
Maonhara,https://sites.google.com/view/manohara32/home,manajemen rapat
PEKPPP32,https://sites.google.com/view/pekppp32/home,kelola dokumen pekppp
